,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
77,OSU,#666666,,OSU,OSU,#DE3121,Big Ten,East,194,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",Buckeyes,Ohio State
78,OKLA,#cccccc,,OKLA,Oklahoma,#7b0000,Big 12,,201,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",Sooners,Oklahoma
79,OKST,#ff9900,,OKST,Oklahoma State,#FF6500,Big 12,,197,"['http://a.espncdn.com/i/teamlogos/ncaa/500/197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/197.png']",Cowboys,Oklahoma State
80,ODU,#a1d2f1,,ODU,Old Dominion,#00507d,Conference USA,East,295,"['http://a.espncdn.com/i/teamlogos/ncaa/500/295.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/295.png']",Monarchs,Old Dominion
81,MISS,#00205b,,MISS,Ole Miss,#001148,SEC,West,145,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",Rebels,Ole Miss
82,ORE,#fee123,,ORE,Oregon,#044520,Pac-12,North,2483,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",Ducks,Oregon
83,ORST,#dea076,,ORST,Oregon State,#c34500,Pac-12,North,204,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Beavers,Oregon State
84,PSU,#002e5c,,PSU,Penn State,#00265D,Big Ten,East,213,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",Nittany Lions,Penn State
85,PITT,#231f20,Pitt,PITT,Pitt,#003263,ACC,Coastal,221,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",Panthers,Pittsburgh
86,PUR,#a4a9ad,,PUR,Purdue,#B89D29,Big Ten,West,2509,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png']",Boilermakers,Purdue
87,RICE,#d1d5d8,,RICE,Rice,#003D7D,Conference USA,West,242,"['http://a.espncdn.com/i/teamlogos/ncaa/500/242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png']",Owls,Rice
88,RUTG,#ffffff,,RUTG,Rutgers,#d21034,Big Ten,East,164,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",Scarlet Knights,Rutgers
89,SDSU,#a8996e,,SDSU,San Diego State,#BF2C37,Mountain West,West,21,"['http://a.espncdn.com/i/teamlogos/ncaa/500/21.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png']",Aztecs,San Diego State
90,SJSU,#fdba31,San Jose St.,SJSU,San Jose State,#005893,Mountain West,West,23,"['http://a.espncdn.com/i/teamlogos/ncaa/500/23.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png']",Spartans,San José State
91,SMU,#ecdcb9,Southern Methodist,SMU,SMU,#E32F38,American Athletic,West,2567,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']",Mustangs,SMU
92,USA,,,USA,South Alabama,#003E7E,Sun Belt,,6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png']",Jaguars,South Alabama
93,SC,#000000,,SC,South Carolina,#670010,SEC,East,2579,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",Gamecocks,South Carolina
94,USM,#ffc423,,USM,Southern Miss,#FFAA3C,Conference USA,West,2572,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png']",Golden Eagles,Southern Mississippi
95,USF,#231f20,,USF,USF,#004A36,American Athletic,East,58,"['http://a.espncdn.com/i/teamlogos/ncaa/500/58.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png']",Bulls,South Florida
96,STAN,#ffffff,,STAN,Stanford,#A80532,Pac-12,North,24,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",Cardinal,Stanford
97,SYR,#0d1d37,,SYR,Syracuse,#F37321,ACC,Atlantic,183,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']",Orange,Syracuse
98,TCU,#f1f2f3,Texas Christian,TCU,TCU,#3C377D,Big 12,,2628,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']",Horned Frogs,TCU
99,TEM,#a7a9ac,,TEM,Temple,#A80532,American Athletic,East,218,"['http://a.espncdn.com/i/teamlogos/ncaa/500/218.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/218.png']",Owls,Temple
100,TENN,#ffffff,,TENN,Tennessee,#EE9627,SEC,East,2633,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png']",Volunteers,Tennessee
101,TEX,#f0f0f0,,TEX,Texas,#EE7524,Big 12,,251,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",Longhorns,Texas
102,TA&M,#ffffff,,TA&M,Texas A&M,#5C0025,SEC,West,245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Aggies,Texas A&M
103,TXST,#b4975a,,TXST,Texas State,#4e1719,Sun Belt,,326,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']",Bobcats,Texas State
104,TTU,#231f20,,TTU,Texas Tech,#C80025,Big 12,,2641,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2641.png']",Red Raiders,Texas Tech
105,TOL,#ffd51d,,TOL,Toledo,#00488F,Mid-American,West,2649,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png']",Rockets,Toledo
106,TROY,#88898c,,TROY,Troy,#AE0210,Sun Belt,,2653,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",Trojans,Troy
107,TULN,#3baf29,,TULN,Tulane,#005837,American Athletic,West,2655,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png']",Green Wave,Tulane
108,TLSA,#ee3b33,,TLSA,Tulsa,#004371,American Athletic,West,202,"['http://a.espncdn.com/i/teamlogos/ncaa/500/202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png']",Golden Hurricane,Tulsa
109,UAB,#ffc845,Alabama-Birmingham,UAB,UAB,#003b28,Conference USA,West,5,"['http://a.espncdn.com/i/teamlogos/ncaa/500/5.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png']",Blazers,UAB
110,UCF,#231f20,Central Florida,UCF,UCF,#000000,American Athletic,East,2116,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",Knights,UCF
111,UCLA,#ffc72c,,UCLA,UCLA,#005C8E,Pac-12,South,26,"['http://a.espncdn.com/i/teamlogos/ncaa/500/26.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png']",Bruins,UCLA
112,UMASS,,,UMASS,UMass,#880007,FBS Independents,,113,"['http://a.espncdn.com/i/teamlogos/ncaa/500/113.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/113.png']",Minutemen,UMass
113,UNLV,#c2c4c6,Nevada-Las Vegas,UNLV,UNLV,#000000,Mountain West,West,2439,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png']",Rebels,UNLV
114,USC,#ffc72c,,USC,USC,#AE2531,Pac-12,South,30,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",Trojans,USC
115,UTAH,#7e8083,,UTAH,Utah,#890012,Pac-12,South,254,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",Utes,Utah
116,USU,#949ca1,,USU,Utah State,#003263,Mountain West,Mountain,328,"['http://a.espncdn.com/i/teamlogos/ncaa/500/328.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png']",Aggies,Utah State
117,UTEP,#ff6f12,Texas-El Paso,UTEP,UTEP,#002843,Conference USA,West,2638,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2638.png']",Miners,UTEP
118,UTSA,#f47321,Texas-San Antonio,UTSA,UTSA,#002A5C,Conference USA,West,2636,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']",Roadrunners,UT San Antonio
119,VAN,#231f20,,VAN,Vanderbilt,#000000,SEC,East,238,"['http://a.espncdn.com/i/teamlogos/ncaa/500/238.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png']",Commodores,Vanderbilt
120,UVA,#002d62,,UVA,UVA,#00204e,ACC,Coastal,258,"['http://a.espncdn.com/i/teamlogos/ncaa/500/258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png']",Cavaliers,Virginia
121,VT,#c2c1ba,,VT,VT,#74232D,ACC,Coastal,259,"['http://a.espncdn.com/i/teamlogos/ncaa/500/259.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png']",Hokies,Virginia Tech
122,WAKE,#000000,,WAKE,Wake Forest,#9E7E38,ACC,Atlantic,154,"['http://a.espncdn.com/i/teamlogos/ncaa/500/154.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png']",Demon Deacons,Wake Forest
123,WASH,#e8e3d3,,WASH,Washington,#2B2F64,Pac-12,North,264,"['http://a.espncdn.com/i/teamlogos/ncaa/500/264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png']",Huskies,Washington
124,WSU,#6a747c,,WSU,Washington St,#94022a,Pac-12,North,265,"['http://a.espncdn.com/i/teamlogos/ncaa/500/265.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/265.png']",Cougars,Washington State
125,WKU,#b3b5b8,,WKU,W Kentucky,#F32026,Conference USA,East,98,"['http://a.espncdn.com/i/teamlogos/ncaa/500/98.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/98.png']",Hilltoppers,Western Kentucky
126,WMU,#bfa979,,WMU,W Michigan,#B59966,Mid-American,West,2711,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2711.png']",Broncos,Western Michigan
127,WVU,#eaaa00,,WVU,West Virginia,#FFC600,Big 12,,277,"['http://a.espncdn.com/i/teamlogos/ncaa/500/277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/277.png']",Mountaineers,West Virginia
128,WIS,#f7f7f7,,WIS,Wisconsin,#A00001,Big Ten,West,275,"['http://a.espncdn.com/i/teamlogos/ncaa/500/275.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/275.png']",Badgers,Wisconsin
129,WYO,#ffffff,,WYO,Wyoming,#533B22,Mountain West,Mountain,2751,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2751.png']",Cowboys,Wyoming
